
ipmitool sensor list all
BRICK2 P12V IOUT | 11.275     | Amps       | ok    | na        | na        | na        | 75.768    | 115.005   | na        
CPU0 P1V1 IOUT   | 7.752      | Amps       | ok    | na        | na        | na        | 84.048    | 95.880    | na        
CPU0 P1V8 IOUT   | 2.911      | Amps       | ok    | na        | na        | na        | 12.567    | 14.413    | na        
CPU0 P3V3 IOUT   | 0.000      | Amps       | ok    | na        | na        | na        | 3.140     | 3.611     | na        
CPU0 VCORE0 IOUT | 4.400      | Amps       | ok    | na        | na        | na        | 242.000   | 276.100   | na        
CPU0 VCORE1 IOUT | 3.300      | Amps       | ok    | na        | na        | na        | 242.000   | 276.100   | na        
CPU0 VDDIO IOUT  | 13.110     | Amps       | ok    | na        | na        | na        | 146.970   | 167.670   | na        
CPU0 VSOC IOUT   | 16.900     | Amps       | ok    | na        | na        | na        | 136.500   | 156.000   | na        
CPU1 P1V1 IOUT   | 2.040      | Amps       | ok    | na        | na        | na        | 84.048    | 95.880    | na        
CPU1 P1V8 IOUT   | 2.769      | Amps       | ok    | na        | na        | na        | 12.567    | 14.413    | na        
CPU1 P3V3 IOUT   | 0.000      | Amps       | ok    | na        | na        | na        | 3.140     | 3.611     | na        
CPU1 VCORE0 IOUT | 5.500      | Amps       | ok    | na        | na        | na        | 242.000   | 276.100   | na        
CPU1 VCORE1 IOUT | 4.400      | Amps       | ok    | na        | na        | na        | 242.000   | 276.100   | na        
CPU1 VDDIO IOUT  | 23.460     | Amps       | ok    | na        | na        | na        | 146.970   | 167.670   | na        
CPU1 VSOC IOUT   | 53.950     | Amps       | ok    | na        | na        | na        | 136.500   | 156.000   | na        
MAIN P3V3 IOUT   | 0.000      | Amps       | ok    | na        | na        | na        | 31.900    | 34.945    | na        
P48V IOUT        | 5.148      | Amps       | ok    | na        | na        | na        | 52.624    | 72.930    | na        
fan0 pwm         | 19.992     | unspecified | ok    | na        | na        | na        | na        | na        | na        
fan1 pwm         | 19.992     | unspecified | ok    | na        | na        | na        | na        | na        | na        
fan2 pwm         | 19.992     | unspecified | ok    | na        | na        | na        | na        | na        | na        
fan3 pwm         | 19.992     | unspecified | ok    | na        | na        | na        | na        | na        | na        
fan4 pwm         | 39.984     | unspecified | ok    | na        | na        | na        | na        | na        | na        
fan5 pwm         | 39.984     | unspecified | ok    | na        | na        | na        | na        | na        | na        
fan0 tach        | 3621.000   | RPM        | ok    | na        | 994.000   | 1988.000  | 18105.000 | 18105.000 | na        
fan1 tach        | 3621.000   | RPM        | ok    | na        | 994.000   | 1988.000  | 18105.000 | 18105.000 | na        
fan2 tach        | 3621.000   | RPM        | ok    | na        | 994.000   | 1988.000  | 18105.000 | 18105.000 | na        
fan3 tach        | 3621.000   | RPM        | ok    | na        | 994.000   | 1988.000  | 18105.000 | 18105.000 | na        
fan4 tach        | 9120.000   | RPM        | ok    | na        | 1026.000  | 2052.000  | 27474.000 | 27474.000 | na        
fan5 tach        | 9120.000   | RPM        | ok    | na        | 1026.000  | 2052.000  | 27474.000 | 27474.000 | na        
CPU0 P1V1 POUT   | 7.184      | Watts      | ok    | na        | na        | na        | 92.494    | 105.515   | na        
